일자|시간|구분,공급량
2019-01-01 01 A,1800.3067106141896
2019-01-01 02 A,1769.7020543969238
2019-01-01 03 A,1702.8143439377632
2019-01-01 04 A,1732.9378632741948
2019-01-01 05 A,1812.339832241024
2019-01-01 06 A,1986.9021359828432
2019-01-01 07 A,2134.5461547360655
2019-01-01 08 A,2346.432684094829
2019-01-01 09 A,2355.697080750347
2019-01-01 10 A,2341.539708802551
2019-01-01 11 A,2396.7988812526846
2019-01-01 12 A,2282.2914684534726
2019-01-01 13 A,2140.3362545285404
2019-01-01 14 A,2050.081584888131
2019-01-01 15 A,1904.3661095766433
2019-01-01 16 A,1886.2725817346663
2019-01-01 17 A,1889.0389723190217
2019-01-01 18 A,2225.140059318098
2019-01-01 19 A,2542.360641412861
2019-01-01 20 A,2551.3435012702016
2019-01-01 21 A,2539.7220551337236
2019-01-01 22 A,2479.7217793128343
2019-01-01 23 A,2271.9770321024203
2019-01-01 24 A,2198.5206301860458
2019-01-02 01 A,1882.0241420764078
2019-01-02 02 A,1768.8902677047752
2019-01-02 03 A,1710.7973029253367
2019-01-02 04 A,1742.7986575085217
2019-01-02 05 A,1893.6954521935766
2019-01-02 06 A,2033.8934153328194
2019-01-02 07 A,2215.622368596649
2019-01-02 08 A,2853.352400481622
2019-01-02 09 A,2948.675397400557
2019-01-02 10 A,2812.5467407479973
2019-01-02 11 A,2685.3423340970903
2019-01-02 12 A,2461.0190831274417
2019-01-02 13 A,2303.4957563518387
2019-01-02 14 A,2180.743150616095
2019-01-02 15 A,2047.5261670757066
2019-01-02 16 A,2033.344318400396
2019-01-02 17 A,2028.0574352528672
2019-01-02 18 A,2318.166504918606
2019-01-02 19 A,2748.2762578911625
2019-01-02 20 A,2757.2591177485024
2019-01-02 21 A,2756.995345823369
2019-01-02 22 A,2678.87041567774
2019-01-02 23 A,2428.9635436891717
2019-01-02 24 A,2312.9808690054356
2019-01-03 01 A,2028.6840729951473
2019-01-03 02 A,1880.4280067127113
2019-01-03 03 A,1820.2095228515086
2019-01-03 04 A,1838.8342555624918
2019-01-03 05 A,2071.7175137518766
2019-01-03 06 A,2230.69648285656
2019-01-03 07 A,2382.847970627826
2019-01-03 08 A,2989.081155219598
2019-01-03 09 A,3073.825579065276
2019-01-03 10 A,2948.711920160322
2019-01-03 11 A,2792.4015266361416
2019-01-03 12 A,2566.878014654511
2019-01-03 13 A,2424.3088921833173
2019-01-03 14 A,2231.3404611001656
2019-01-03 15 A,2071.897794317721
2019-01-03 16 A,2048.2776342787747
2019-01-03 17 A,2042.9907511312456
2019-01-03 18 A,2404.5278985558753
2019-01-03 19 A,2795.317702066062
2019-01-03 20 A,2792.623292792469
2019-01-03 21 A,2786.9208251454097
2019-01-03 22 A,2750.6373218344834
2019-01-03 23 A,2537.4818995989413
2019-01-03 24 A,2400.0552942618983
2019-01-04 01 A,2093.496355962232
2019-01-04 02 A,1870.1777880561729
2019-01-04 03 A,1793.4009981242832
2019-01-04 04 A,1818.2655112067584
2019-01-04 05 A,2017.0755164893185
2019-01-04 06 A,2190.402892489902
2019-01-04 07 A,2414.4106564960316
2019-01-04 08 A,2977.721714110165
2019-01-04 09 A,3041.066041107785
2019-01-04 10 A,2929.581153947584
2019-01-04 11 A,2775.5041109305616
2019-01-04 12 A,2513.5881106153893
2019-01-04 13 A,2382.8160193583562
2019-01-04 14 A,2192.6641480397784
2019-01-04 15 A,2030.2672039402325
2019-01-04 16 A,2005.2319450441435
2019-01-04 17 A,2007.5655871066986
2019-01-04 18 A,2292.5533719178184
2019-01-04 19 A,2745.3853097223405
2019-01-04 20 A,2731.6128123812587
2019-01-04 21 A,2704.801131513053
2019-01-04 22 A,2688.7492949236625
2019-01-04 23 A,2450.6245371318487
2019-01-04 24 A,2362.720980183882
2019-01-05 01 A,2016.7738889919872
2019-01-05 02 A,1836.7585987675095
2019-01-05 03 A,1802.2045899669467
2019-01-05 04 A,1815.5185752405637
2019-01-05 05 A,1927.9218928700886
2019-01-05 06 A,1956.4516584824362
2019-01-05 07 A,2034.6886745588824
2019-01-05 08 A,2414.906506370823
2019-01-05 09 A,2786.7036567128
2019-01-05 10 A,2799.0985005789466
2019-01-05 11 A,2795.872257930237
2019-01-05 12 A,2323.447925576692
2019-01-05 13 A,2174.1456537622407
2019-01-05 14 A,2119.8924052017173
2019-01-05 15 A,2070.6954313728725
2019-01-05 16 A,2067.019347240319
2019-01-05 17 A,2074.4140854102534
2019-01-05 18 A,2143.352500324188
2019-01-05 19 A,2630.6720554850062
2019-01-05 20 A,2626.792196497401
2019-01-05 21 A,2571.220476417969
2019-01-05 22 A,2512.416532233152
2019-01-05 23 A,2258.0457988079374
2019-01-05 24 A,2206.7793954723406
2019-01-06 01 A,1877.881659664833
2019-01-06 02 A,1660.52326527306
2019-01-06 03 A,1618.9916607117232
2019-01-06 04 A,1641.2690389735965
2019-01-06 05 A,1749.4687596480412
2019-01-06 06 A,1787.6900049406324
2019-01-06 07 A,1840.37155350547
2019-01-06 08 A,2068.984699533265
2019-01-06 09 A,2537.235718723363
2019-01-06 10 A,2549.8310177770863
2019-01-06 11 A,2545.8775721360607
2019-01-06 12 A,2206.911008575512
2019-01-06 13 A,2070.8696938112257
2019-01-06 14 A,2024.9378473904546
2019-01-06 15 A,2030.886399178519
2019-01-06 16 A,2022.2321141705445
2019-01-06 17 A,2029.6268523404792
2019-01-06 18 A,2116.7577520045447
2019-01-06 19 A,2614.5514236644003
2019-01-06 20 A,2608.0429945136248
2019-01-06 21 A,2540.696231891319
2019-01-06 22 A,2489.2208644805123
2019-01-06 23 A,2224.714132777209
2019-01-06 24 A,2190.4661421524743
2019-01-07 01 A,1835.7831505746046
2019-01-07 02 A,1660.5389420462654
2019-01-07 03 A,1630.6059074937807
2019-01-07 04 A,1644.2682759197064
2019-01-07 05 A,1820.606174980967
2019-01-07 06 A,2006.6814742731187
2019-01-07 07 A,2335.5052559110136
2019-01-07 08 A,2931.6832014018173
2019-01-07 09 A,3019.313901362421
2019-01-07 10 A,2898.3654939018784
2019-01-07 11 A,2707.1438833268912
2019-01-07 12 A,2423.0798962927097
2019-01-07 13 A,2332.6694191659767
2019-01-07 14 A,2162.3254267246843
2019-01-07 15 A,2028.901973321371
2019-01-07 16 A,2014.7201246460606
2019-01-07 17 A,2015.1979647849496
2019-01-07 18 A,2317.798846546391
2019-01-07 19 A,2696.1678640213568
2019-01-07 20 A,2699.468105479898
2019-01-07 21 A,2693.799679039947
2019-01-07 22 A,2651.144850466252
2019-01-07 23 A,2428.298321897499
2019-01-07 24 A,2318.320503799172
2019-01-08 01 A,2020.6200137245175
2019-01-08 02 A,1791.8814433389534
2019-01-08 03 A,1715.4963610156365
2019-01-08 04 A,1747.2602930732317
2019-01-08 05 A,1937.412269732922
2019-01-08 06 A,2155.504377493095
2019-01-08 07 A,2432.7477372221642
2019-01-08 08 A,2928.9946589721308
2019-01-08 09 A,2999.121437026049
2019-01-08 10 A,2878.318091671226
2019-01-08 11 A,2713.810845637773
2019-01-08 12 A,2479.2069217301246
2019-01-08 13 A,2358.5205083782425
2019-01-08 14 A,2208.4511483048163
2019-01-08 15 A,2091.550790012458
2019-01-08 16 A,2077.368941337148
2019-01-08 17 A,2072.559898328508
2019-01-08 18 A,2387.0326975135845
2019-01-08 19 A,2787.3370526993344
2019-01-08 20 A,2790.6372941578757
2019-01-08 21 A,2779.937132811191
2019-01-08 22 A,2733.609871563639
2019-01-08 23 A,2572.1681255024027
2019-01-08 24 A,2462.3413276165315
2019-01-09 01 A,2150.7492328197295
2019-01-09 02 A,1878.8561514946714
2019-01-09 03 A,1813.746256888546
2019-01-09 04 A,1840.750233669976
2019-01-09 05 A,1999.6036733700626
2019-01-09 06 A,2190.2164159323574
2019-01-09 07 A,2474.4793828622646
2019-01-09 08 A,2936.435825190404
2019-01-09 09 A,3011.797432117338
2019-01-09 10 A,2888.2202365012404
2019-01-09 11 A,2792.9526711476224
2019-01-09 12 A,2561.108464684803
2019-01-09 13 A,2411.190443193486
2019-01-09 14 A,2242.545974953352
2019-01-09 15 A,2099.049421910505
2019-01-09 16 A,2088.5525119360245
2019-01-09 17 A,2088.4325680477546
2019-01-09 18 A,2444.2987693724717
2019-01-09 19 A,2838.5212175758234
