일자|시간|구분,공급량
2019-01-01 01 A,1885.285238228073
2019-01-01 02 A,1756.1685433034388
2019-01-01 03 A,1687.8192878052898
2019-01-01 04 A,1722.1775140343227
2019-01-01 05 A,1817.8239298325939
2019-01-01 06 A,1971.0858458514026
2019-01-01 07 A,2186.340995396545
2019-01-01 08 A,2361.9101097726875
2019-01-01 09 A,2379.4584312487186
2019-01-01 10 A,2358.731686570444
2019-01-01 11 A,2380.6891420594134
2019-01-01 12 A,2344.391286420668
2019-01-01 13 A,2195.791632063532
2019-01-01 14 A,2064.1780436505005
2019-01-01 15 A,1897.3014445413291
2019-01-01 16 A,1852.6225118084162
2019-01-01 17 A,1867.3828781709817
2019-01-01 18 A,2208.4534035653537
2019-01-01 19 A,2481.490623424133
2019-01-01 20 A,2479.8218385706527
2019-01-01 21 A,2488.5589854430364
2019-01-01 22 A,2434.4985996714595
2019-01-01 23 A,2270.6147277296545
2019-01-01 24 A,2204.5695507379264
2019-01-02 01 A,1912.1791964800623
2019-01-02 02 A,1755.4767398124745
2019-01-02 03 A,1690.665904445712
2019-01-02 04 A,1724.650568363372
2019-01-02 05 A,1864.0190626050803
2019-01-02 06 A,2011.1366712718818
2019-01-02 07 A,2212.3374942722066
2019-01-02 08 A,2785.580811069559
2019-01-02 09 A,2878.307179228315
2019-01-02 10 A,2762.8109404132947
2019-01-02 11 A,2639.141850981368
2019-01-02 12 A,2377.694437886378
2019-01-02 13 A,2266.612279338151
2019-01-02 14 A,2148.4410389999834
2019-01-02 15 A,2092.5126897138043
2019-01-02 16 A,2041.719248502466
2019-01-02 17 A,2046.2094749660419
2019-01-02 18 A,2280.432410039975
2019-01-02 19 A,2731.122006168887
2019-01-02 20 A,2739.112283220168
2019-01-02 21 A,2738.9851697268505
2019-01-02 22 A,2624.3067140520952
2019-01-02 23 A,2351.127845571236
2019-01-02 24 A,2251.335211681349
2019-01-03 01 A,1958.5592851489744
2019-01-03 02 A,1800.4802888239803
2019-01-03 03 A,1767.3878880981608
2019-01-03 04 A,1793.3344892762586
2019-01-03 05 A,1978.0498165278937
2019-01-03 06 A,2119.456574256856
2019-01-03 07 A,2314.10020241278
2019-01-03 08 A,2957.5876162227846
2019-01-03 09 A,3067.689285201646
2019-01-03 10 A,2927.144067631442
2019-01-03 11 A,2746.9326748122016
2019-01-03 12 A,2514.3723504697646
2019-01-03 13 A,2385.8939075039643
2019-01-03 14 A,2192.5244945656764
2019-01-03 15 A,2171.2442952064816
2019-01-03 16 A,2135.1387196414257
2019-01-03 17 A,2141.4649534660066
2019-01-03 18 A,2312.27953332119
2019-01-03 19 A,2780.8610974704625
2019-01-03 20 A,2775.7145166048363
2019-01-03 21 A,2764.684848341143
2019-01-03 22 A,2719.5290753418026
2019-01-03 23 A,2442.5644198592727
2019-01-03 24 A,2301.3289269570973
2019-01-04 01 A,2006.8725085398785
2019-01-04 02 A,1874.1036211589812
2019-01-04 03 A,1828.1316960808401
2019-01-04 04 A,1823.6168435681823
2019-01-04 05 A,1972.9836795559481
2019-01-04 06 A,2103.208420641101
2019-01-04 07 A,2331.11948318276
2019-01-04 08 A,2917.666411800285
2019-01-04 09 A,3014.056671489103
2019-01-04 10 A,2877.8483354792925
2019-01-04 11 A,2745.8315768916136
2019-01-04 12 A,2464.5122119684297
2019-01-04 13 A,2352.520770575308
2019-01-04 14 A,2182.1943177114426
2019-01-04 15 A,2102.6019653002318
2019-01-04 16 A,2071.0350616317264
2019-01-04 17 A,2079.5565551948694
2019-01-04 18 A,2252.012506450775
2019-01-04 19 A,2744.173067945388
2019-01-04 20 A,2737.774132902653
2019-01-04 21 A,2704.1137755695536
2019-01-04 22 A,2664.5438055290037
2019-01-04 23 A,2362.699758682068
2019-01-04 24 A,2266.509975789587
2019-01-05 01 A,1991.5070112792175
2019-01-05 02 A,1806.1859691444677
2019-01-05 03 A,1773.99298497817
2019-01-05 04 A,1779.387290386366
2019-01-05 05 A,1883.7738119627645
2019-01-05 06 A,1916.3997088960602
2019-01-05 07 A,2003.4521273211687
2019-01-05 08 A,2336.887763017476
2019-01-05 09 A,2602.1979093601913
2019-01-05 10 A,2644.688107281325
2019-01-05 11 A,2620.09825583565
2019-01-05 12 A,2252.8852681867506
2019-01-05 13 A,2074.1964161473065
2019-01-05 14 A,2064.485016511702
2019-01-05 15 A,2046.2270922914909
2019-01-05 16 A,2039.8399658473331
2019-01-05 17 A,2037.718616701223
2019-01-05 18 A,2114.520060905778
2019-01-05 19 A,2531.144560499669
2019-01-05 20 A,2514.0551455581485
2019-01-05 21 A,2465.7956812921598
2019-01-05 22 A,2358.6452142140092
2019-01-05 23 A,2093.8696747016033
2019-01-05 24 A,2053.892866124134
